"gene","p_value"
"ENSG00000123612",4.11604789762484e-07
"ENSG00000068976",4.57876814728626e-07
"ENSG00000160161",4.60873774986282e-07
"ENSG00000196611",4.79547097951237e-07
"ENSG00000170373",4.990338600944e-07
"ENSG00000261327",5.02667238195078e-07
"ENSG00000169258",5.45039079032747e-07
"ENSG00000060718",6.03592874379998e-07
"ENSG00000170509",6.39248464080444e-07
"ENSG00000230838",6.65752471481336e-07
"ENSG00000172901",8.56039083755461e-07
"ENSG00000108960",8.75711013061443e-07
"ENSG00000171227",1.53803099112523e-06
"ENSG00000205726",1.59729809524629e-06
"ENSG00000203805",2.20045386236863e-06
"ENSG00000122641",2.56310184295908e-06
"ENSG00000143549",3.41946100865742e-06
"ENSG00000170145",3.63668674136844e-06
"ENSG00000138640",3.68246513794405e-06
"ENSG00000122729",3.86673098055931e-06
"ENSG00000135127",4.68329153595246e-06
"ENSG00000134962",5.39292465830152e-06
"ENSG00000025423",6.50060605076217e-06
"ENSG00000162073",7.02510130868799e-06
"ENSG00000183010",9.51973620444748e-06
"ENSG00000180354",1.0043683651954e-05
"ENSG00000105664",1.04798651541786e-05
"ENSG00000103253",1.43719579559204e-05
"ENSG00000163545",1.93963527800233e-05
"ENSG00000181856",2.02784672868881e-05
"ENSG00000137745",3.67431598094735e-05
"ENSG00000165474",4.94461598352474e-05
"ENSG00000121691",6.48009232881209e-05
"ENSG00000165410",8.36683344752663e-05
"ENSG00000124743",8.47828467887618e-05
"ENSG00000056998",0.000113374000341422
"ENSG00000259347",0.000120429070512109
"ENSG00000172156",0.000123650969812965
"ENSG00000115306",0.000124731148911714
"ENSG00000179921",0.000225535527298732
"ENSG00000187730",0.00039965891576233
"ENSG00000099953",0.000449024717461949
"ENSG00000258311",0.000457287785911879
"ENSG00000232679",0.000512719981414432
"ENSG00000029559",0.000578746328632632
"ENSG00000183682",0.00061756843421195
"ENSG00000083782",0.000751836573017426
"ENSG00000124493",0.000892788881633566
