"LHS","RHS","support","confidence","coverage","lift","count"
"{ENSG00000088325_Low,ENSG00000169607_Low,ER=Positive}","{PR=Positive}",0.34027149321267,0.878504672897196,0.387330316742081,1.37499669058272,376
"{ENSG00000088325_Low,ENSG00000183856_Low,ER=Positive}","{PR=Positive}",0.314027149321267,0.878481012658228,0.357466063348416,1.3749596586223,347
"{ENSG00000077152_Low,ENSG00000123485_Low,ER=Positive}","{PR=Positive}",0.320361990950226,0.878411910669975,0.364705882352941,1.37485150324408,354
"{ENSG00000123485_Low,ENSG00000183856_Low,ER=Positive}","{PR=Positive}",0.319457013574661,0.878109452736318,0.363800904977375,1.37437810945274,353
"{ENSG00000077152_Low,ENSG00000169607_Low,ER=Positive}","{PR=Positive}",0.305882352941176,0.877922077922078,0.34841628959276,1.37408483867407,338
"{ENSG00000158402_Low,ENSG00000169607_Low,ER=Positive}","{PR=Positive}",0.304977375565611,0.877604166666667,0.347511312217195,1.37358725802644,337
"{ENSG00000088325_Low,ER=Positive}","{PR=Positive}",0.388235294117647,0.877300613496933,0.442533936651584,1.37311215001999,429
"{ENSG00000088325_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.388235294117647,0.877300613496933,0.442533936651584,1.37311215001999,429
"{ENSG00000105011_Low,ENSG00000175063_Low,ER=Positive}","{PR=Positive}",0.304072398190045,0.877284595300261,0.346606334841629,1.37308707904644,336
"{ENSG00000117650_Low,ENSG00000143228_Low,ER=Positive}","{PR=Positive}",0.316742081447964,0.87719298245614,0.361085972850679,1.37294369067144,350
"{ENSG00000123485_Low,ENSG00000158402_Low,ER=Positive}","{PR=Positive}",0.323076923076923,0.877149877149877,0.368325791855204,1.37287622415101,357
"{ENSG00000117650_Low,ENSG00000123485_Low,ER=Positive}","{PR=Positive}",0.309502262443439,0.876923076923077,0.352941176470588,1.37252124645892,342
"{ENSG00000152253_Low,ENSG00000175063_Low,ER=Positive}","{PR=Positive}",0.309502262443439,0.876923076923077,0.352941176470588,1.37252124645892,342
"{ENSG00000077152_Low,ENSG00000088325_Low,ER=Positive}","{PR=Positive}",0.328506787330317,0.876811594202899,0.374660633484163,1.37234675863202,363
"{ENSG00000105011_Low,ENSG00000123485_Low,ER=Positive}","{PR=Positive}",0.308597285067873,0.876606683804627,0.352036199095023,1.37202604193217,341
"{ENSG00000090889_Low,ENSG00000117650_Low,ER=Positive}","{PR=Positive}",0.314932126696833,0.876574307304786,0.359276018099548,1.37197536766542,348
"{ENSG00000203805_High,ER=Positive}","{PR=Positive}",0.34027149321267,0.876456876456876,0.388235294117647,1.37179157009185,376
"{ENSG00000203805_High,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.34027149321267,0.876456876456876,0.388235294117647,1.37179157009185,376
"{ENSG00000088325_Low,ENSG00000170312_Low,ER=Positive}","{PR=Positive}",0.339366515837104,0.876168224299065,0.387330316742081,1.37133978449075,375
"{ENSG00000077152_Low,ENSG00000170312_Low,ER=Positive}","{PR=Positive}",0.319457013574661,0.875930521091811,0.364705882352941,1.37096774193548,353
"{ENSG00000090889_Low,ENSG00000169607_Low,ER=Positive}","{PR=Positive}",0.332126696832579,0.875894988066826,0.379185520361991,1.37091212721507,367
"{ENSG00000169607_Low,ENSG00000170312_Low,ER=Positive}","{PR=Positive}",0.318552036199095,0.875621890547264,0.363800904977376,1.37048468704635,352
"{ENSG00000158402_Low,ENSG00000170312_Low,ER=Positive}","{PR=Positive}",0.31131221719457,0.875318066157761,0.355656108597285,1.3700091545387,344
"{ENSG00000143228_Low,ENSG00000183856_Low,ER=Positive}","{PR=Positive}",0.310407239819005,0.875,0.354751131221719,1.36951133144476,343
"{ENSG00000088325_Low,ENSG00000117650_Low,ER=Positive}","{PR=Positive}",0.322171945701357,0.874692874692875,0.368325791855204,1.36903063248672,356
"{ENSG00000123485_Low,ENSG00000152253_Low,ER=Positive}","{PR=Positive}",0.319457013574661,0.873762376237624,0.365610859728507,1.36757425742574,353
"{ENSG00000117650_Low,ENSG00000169607_Low,ER=Positive}","{PR=Positive}",0.306787330316742,0.873711340206186,0.351131221719457,1.36749437808475,339
"{ENSG00000170312_Low,ER=Positive}","{PR=Positive}",0.374660633484163,0.873417721518987,0.4289592760181,1.36703481909133,414
"{ENSG00000170312_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.374660633484163,0.873417721518987,0.4289592760181,1.36703481909133,414
"{ENSG00000090889_Low,ENSG00000183856_Low,ER=Positive}","{PR=Positive}",0.304977375565611,0.873056994818653,0.349321266968326,1.36647022560143,337
"{ENSG00000077152_Low,ENSG00000117650_Low,ER=Positive}","{PR=Positive}",0.316742081447964,0.872817955112219,0.36289592760181,1.36609609121672,350
"{ENSG00000088325_Low,ENSG00000152253_Low,ER=Positive}","{PR=Positive}",0.315837104072398,0.8725,0.361990950226244,1.36559844192635,349
"{ENSG00000077152_Low,ENSG00000158402_Low,ER=Positive}","{PR=Positive}",0.308597285067873,0.872122762148338,0.353846153846154,1.36500800591206,341
"{ENSG00000123485_Low,ENSG00000276043_Low,ER=Positive}","{PR=Positive}",0.302262443438914,0.872062663185379,0.346606334841629,1.36491394167117,334
"{ENSG00000088325_Low,ENSG00000276043_Low,ER=Positive}","{PR=Positive}",0.302262443438914,0.872062663185379,0.346606334841629,1.36491394167117,334
"{ENSG00000117650_Low,ENSG00000170312_Low,ER=Positive}","{PR=Positive}",0.306787330316742,0.87146529562982,0.352036199095023,1.36397896837245,339
"{ENSG00000169607_Low,ER=Positive}","{PR=Positive}",0.373755656108597,0.871308016877637,0.4289592760181,1.3637328026201,413
"{ENSG00000169607_Low,ER=Positive,Subtype=Luminal_A}","{PR=Positive}",0.373755656108597,0.871308016877637,0.4289592760181,1.3637328026201,413
