"Feature","Gain","Cover","Frequency"
"ENSG00000091831",0.216437918088987,0.0794773290409957,0.0186133085155886
"ENSG00000108932",0.0636866824204052,0.0339566810507033,0.0134946486738018
"ENSG00000150667",0.0528826161211459,0.0246880252391329,0.00791065611912518
"ENSG00000223808",0.034284438857219,0.00380389260222815,0.00139599813866915
"ENSG00000115648",0.0244836553649959,0.0111130296033359,0.00232666356444858
"ENSG00000008196",0.0221435018648928,0.0087284426430954,0.0130293159609121
"ENSG00000173467",0.0166234562762537,0.00844022965289522,0.00325732899022801
"ENSG00000170893",0.0141970725973421,0.00798585151141959,0.00744532340623546
"ENSG00000174827",0.013849644983667,0.0175882046924519,0.0153559795253606
"ENSG00000166535",0.0134016986496467,0.0169126287618451,0.0116333178222429
"ENSG00000187720",0.0133774927688748,0.0105214068135436,0.00372266170311773
"ENSG00000106541",0.0129709843189934,0.00366368894818755,0.00139599813866915
"ENSG00000248779",0.0105765377020967,0.0225627741497805,0.0125639832480223
"ENSG00000185479",0.0105453133966354,0.00666932365658188,0.00744532340623546
"ENSG00000107518",0.0100391916499682,0.00286275934477894,0.00232666356444858
"ENSG00000188505",0.00989794668835557,0.00817714350677178,0.00837598883201489
"ENSG00000165125",0.00904525486324194,0.00273738470321452,0.00232666356444858
"ENSG00000115112",0.00892008645980192,0.00434623976407936,0.00325732899022801
"ENSG00000117115",0.00811383239468296,0.00724541702902436,0.00651465798045603
"ENSG00000161798",0.00729112311947224,0.00452632431737222,0.00511865984178688
"ENSG00000183888",0.00682016755611271,0.00348545543048643,0.00372266170311773
"ENSG00000164287",0.00631015794518167,0.00287634035435225,0.00651465798045603
"ENSG00000163631",0.00629342988297171,0.00165860742687891,0.00186133085155886
"ENSG00000091513",0.00598860061019949,0.0170099739523495,0.00930665425779432
"ENSG00000138755",0.00594252869477963,0.00513272309518363,0.00325732899022801
"ENSG00000247627",0.00586984590206036,0.00436111023204014,0.00325732899022801
"ENSG00000172478",0.0056205954920836,0.00312310292137135,0.00232666356444858
"ENSG00000156234",0.00546417661165262,0.0087602023647092,0.00558399255467659
"ENSG00000174469",0.00541018251850696,0.00102607373775605,0.00232666356444858
"ENSG00000163017",0.005353505565146,0.0144494460591148,0.00558399255467659
"ENSG00000147255",0.00506982511573965,0.00991268990287782,0.00651465798045603
"ENSG00000137558",0.0049909435683677,0.00207102153100079,0.00372266170311773
"ENSG00000113739",0.00494564788938208,0.00160456020035353,0.00139599813866915
"ENSG00000105664",0.00470546452234546,0.0144346474151913,0.00837598883201489
"ENSG00000235123",0.00465613313779521,0.00697061488809439,0.00372266170311773
"ENSG00000237541",0.00460291444582219,0.0172660223069002,0.00977198697068404
"ENSG00000163040",0.00455717440767264,0.00083108973381623,0.00232666356444858
