"Model","Accuracy","Kappa","F1_Macro"
"Random Forest",0.86969696969697,0.386590584878745,0.717648869056778
"LASSO",0.893939393939394,0.52774256858977,0.612405854512704
"XGBoost",0.866666666666667,0.366077275703995,0.518149565319377
