"K","Silhouette"
2,0.180375418243674
3,0.0848143520046612
4,0.0797768730065067
5,0.0641726665911808
6,0.0519941219879923
7,0.0551449359254847
8,0.0537473830486406
9,0.046914531438215
10,0.0371657120954397
