"Variable","HR","CI_lower","CI_upper","pvalue"
"age",1.03956223356008,1.0219880955676,1.05743857695742,8.18774527893744e-06
"lymph_nodes",1.00313869919608,0.955559135647171,1.05308736245118,0.899414935168589
"stage_II",3.21009512174719,1.26900960487831,8.12027793253248,0.0137744334270646
"stage_III",5.74237642314582,2.0885614090122,15.7883253242224,0.000706194751404129
"stage_IV",30.3632543719755,9.86501969667137,93.4541688110729,2.67272585524911e-09
"subtype_LumB",7.47076626602518e-07,0,Inf,0.996258079372574
"subtype_HER2",0.966256141482632,0.235319778556624,3.967583756366,0.962010127966988
"subtype_TN",2.0003406898181,1.07735072857621,3.71407636269948,0.0280959834143219
